Company,Field,Value,Source URL
Pfizer Inc.,Revenue,62600000000,https://www.sec.gov/Archives/edgar/data/78003/000007800326000026/pfe-20251231.htm
Pfizer Inc.,Employees,88000,https://www.sec.gov/Archives/edgar/data/78003/000007800326000026/pfe-20251231.htm
Pfizer Inc.,Therapeutic Area,"Oncology, Vaccines",https://www.pfizer.com/science/drug-product-pipeline
Pfizer Inc.,Key Products,"Eliquis, Prevnar",https://annualreview.pfizer.com/
Pfizer Inc.,Website,www.pfizer.com,https://www.pfizer.com/
Novartis AG,Revenue,50300000000,https://www.sec.gov/Archives/edgar/data/1114448/000137036825000007/a250131-99_1.htm
Novartis AG,Employees,75883,https://www.sec.gov/Archives/edgar/data/1114448/000137036825000004/nvs-20241231.htm
Novartis AG,Therapeutic Area,"Immunology, Neuroscience, Oncology",https://www.novartis.com/sites/novartis_com/files/2025-01-interim-financial-report-en.pdf
Novartis AG,Key Products,"Entresto, Cosentyx, Kesimpta, Kisqali, Pluvicto",https://www.sec.gov/Archives/edgar/data/1114448/000137036824000022/a241029-99_1.htm
Novartis AG,Website,https://www.novartis.com,https://www.novartis.com
Roche Holding AG,Revenue,68900000000,https://assets.roche.com/f/176343/x/774e29fc44/250130_ir_fy24_en.pdf
Roche Holding AG,Employees,103249,https://assets.roche.com/f/176343/x/38d96ed8ec/fb24e.pdf
Roche Holding AG,Therapeutic Area,"Oncology, Immunology, Neuroscience, Ophthalmology, Infectious Diseases, Haematology",https://www.roche.com/solutions/focus-areas
Roche Holding AG,Key Products,"Ocrevus, Vabysmo, Hemlibra, Phesgo, Tecentriq, Perjeta, Alecensa, Evrysdi, Polivy, Xolair",https://www.roche.com/media/releases/med-cor-2025-01-30
Roche Holding AG,Website,https://www.roche.com,https://www.roche.com
Sanofi S.A.,Revenue,44290000000,https://www.sec.gov/Archives/edgar/data/0001121404/000112140425000002/pressreleaseq42024english.htm
Sanofi S.A.,Employees,82878,https://www.sec.gov/Archives/edgar/data/0001121404/000112140425000010/sny-20241231.htm
Sanofi S.A.,Therapeutic Area,"Immunology, Oncology, Rare Diseases, Rare Blood Disorders, Neurology, Vaccines",https://www.sanofi.com/en/our-science/our-focus-areas
Sanofi S.A.,Key Products,"Dupixent, Beyfortus, ALTUVIIIO, Nexviazyme, Sarclisa, Rezurock, Cablivi, Lantus, Toujeo, Fabrazyme",https://www.sec.gov/Archives/edgar/data/0001121404/000112140425000002/pressreleaseq42024english.htm
Sanofi S.A.,Website,https://www.sanofi.com,https://www.sanofi.com
