Company Name,Country,Headquarters,Revenue,Employees,Therapeutic Area,Key Products,Website,Last Updated Date
Pfizer Inc.,United States,"New York, NY",62600000000,75000,"Oncology, Internal Medicine, Vaccines, Inflammation & Immunology","Eliquis, Prevnar Family, Vyndaqel Family, Comirnaty, Ibrance, Paxlovid",https://www.pfizer.com/,31-05-2026
Novartis AG,Switzerland,"Basel, Switzerland",50300000000,75883,"Cardiovascular-Renal-Metabolic, Immunology, Neuroscience, Oncology","Entresto, Cosentyx, Kesimpta, Kisqali, Pluvicto, Leqvio, Jakavi, Promacta/Revolade, Scemblix, Tafinlar+Mekinist",https://www.novartis.com,31-05-2026
Roche Holding AG,Switzerland,"Basel, Switzerland",68900000000,103249,"Oncology, Immunology, Neuroscience, Ophthalmology, Infectious Diseases, Haematology","Ocrevus, Vabysmo, Hemlibra, Phesgo, Tecentriq, Perjeta, Alecensa, Evrysdi, Polivy, Xolair",https://www.roche.com,31-05-2026
Sanofi S.A.,France,"46, avenue de la Grande Armée, 75017 Paris, France",44300000000,82878,"Immunology, Oncology, Rare Diseases, Rare Blood Disorders, Neurology, Vaccines","Dupixent, Beyfortus, ALTUVIIIO, Nexviazyme, Sarclisa, Rezurock, Cablivi, Lantus, Toujeo, Fabrazyme, Kevzara",https://www.sanofi.com,31-05-2026
"Merck & Co., Inc.",United States,"Rahway, New Jersey, USA",64200000000,75000,"Oncology, Vaccines, Infectious Diseases, Cardiometabolic & Respiratory, Immunology, Neuroscience, Ophthalmology","Keytruda, Gardasil/Gardasil 9, Januvia/Janumet, Bridion, Lynparza (alliance), Lenvima (alliance), Lagevrio, Vaxneuvance, Prevymis, Winrevair, Welireg",https://www.merck.com,31-05-2026
AstraZeneca PLC,United Kingdom,"1 Francis Crick Avenue, Cambridge Biomedical Campus, Cambridge, CB2 0AA, UK",54100000000,90100,"Oncology, BioPharmaceuticals (Cardiovascular Renal & Metabolism, Respiratory & Immunology), Rare Disease, Vaccines & Immune Therapies","Tagrisso, Imfinzi, Enhertu, Lynparza, Calquence, Fasenra, Farxiga, Soliris, Ultomiris, Saphnelo, Beyfortus, Symbicort",https://www.astrazeneca.com,31-05-2026
AbbVie Inc.,United States,"1 North Waukegan Road, North Chicago, Illinois 60064, USA",56334000000,55000,"Immunology, Oncology, Neuroscience, Eye Care, Aesthetics","Humira, Skyrizi, Rinvoq, Imbruvica, Venclexta, Botox Therapeutic, Botox Cosmetic, Vraylar, Ubrelvy, Qulipta, Juvederm, Elahere",https://www.abbvie.com,31-05-2026
GSK plc,United Kingdom,"980 Great West Road, Brentford, Middlesex, TW8 9GS, UK",40180000000,68629,"Respiratory, Immunology & Inflammation, HIV, Oncology, Infectious Diseases","Dovato, Tivicay, Apretude, Arexvy, Nucala, Depemokimab, Blenrep, Jemperli, Zejula, Shingrix, Dolutegravir, Trelegy Ellipta, Benlysta",https://www.gsk.com,31-05-2026
Bayer AG,Germany,"Kaiser-Wilhelm-Allee 1, 51373 Leverkusen, Germany",46606000000,93000,"Oncology, Cardiology, Ophthalmology, Women's Health, Neurology, Immunology, Cell & Gene Therapy","Xarelto, Eylea, Nubeqa, Kerendia, Adempas, Stivarga, Mirena/YAZ, Aspirin Cardio, Ultravist, Gadovist",https://www.bayer.com,31-05-2026
Eli Lilly and Company,United States,"Indianapolis, Indiana, USA",45040000000,47000,"Diabetes & Obesity, Oncology, Immunology, Neuroscience","Mounjaro, Zepbound, Verzenio, Trulicity, Jardiance (alliance), Humalog, Taltz, Olumiant, Kisunla, Omvoh, Ebglyss, Jaypirca",https://www.lilly.com,31-05-2026
Bristol Myers Squibb Company,United States,"Princeton Pike, Lawrence Township, New Jersey, USA",48300000000,34100,"Oncology, Hematology, Immunology, Cardiovascular, Neuroscience","Eliquis, Opdivo, Opdivo Qvantig, Revlimid, Orencia, Pomalyst/Imnovid, Yervoy, Reblozyl, Opdualag, Camzyos, Breyanzi, Abecma, Sotyktu, Cobenfy, Krazati",https://www.bms.com,31-05-2026
Amgen Inc.,United States,"One Amgen Center Drive, Thousand Oaks, California 91320, USA",33424000000,28400,"General Medicine, Oncology, Inflammation, Rare Disease","Enbrel, Prolia, XGEVA, Repatha, Otezla, Blincyto, KYPROLIS, LUMAKRAS, TEZSPIRE, EVENITY, TEPEZZA, KRYSTEXXA, UPLIZNA, TAVNEOS, IMDELLTRA",https://www.amgen.com,31-05-2026
