Company Name,Therapeutic Area
Pfizer Inc.,Oncology
Pfizer Inc.,Internal Medicine
Pfizer Inc.,Vaccines
Pfizer Inc.,Inflammation & Immunology
Novartis AG,Cardiovascular-Renal-Metabolic
Novartis AG,Immunology
Novartis AG,Neuroscience
Novartis AG,Oncology
Roche Holding AG,Oncology
Roche Holding AG,Immunology
Roche Holding AG,Neuroscience
Roche Holding AG,Ophthalmology
Roche Holding AG,Infectious Diseases
Roche Holding AG,Haematology
Sanofi S.A.,Immunology
Sanofi S.A.,Oncology
Sanofi S.A.,Rare Diseases
Sanofi S.A.,Rare Blood Disorders
Sanofi S.A.,Neurology
Sanofi S.A.,Vaccines
"Merck & Co., Inc.",Oncology
"Merck & Co., Inc.",Vaccines
"Merck & Co., Inc.",Infectious Diseases
"Merck & Co., Inc.",Cardiometabolic & Respiratory
"Merck & Co., Inc.",Immunology
"Merck & Co., Inc.",Neuroscience
"Merck & Co., Inc.",Ophthalmology
AstraZeneca PLC,Oncology
AstraZeneca PLC,BioPharmaceuticals (Cardiovascular Renal & Metabolism
AstraZeneca PLC,Respiratory & Immunology)
AstraZeneca PLC,Rare Disease
AstraZeneca PLC,Vaccines & Immune Therapies
AbbVie Inc.,Immunology
AbbVie Inc.,Oncology
AbbVie Inc.,Neuroscience
AbbVie Inc.,Eye Care
AbbVie Inc.,Aesthetics
GSK plc,Respiratory
GSK plc,Immunology & Inflammation
GSK plc,HIV
GSK plc,Oncology
GSK plc,Infectious Diseases
Bayer AG,Oncology
Bayer AG,Cardiology
Bayer AG,Ophthalmology
Bayer AG,Women's Health
Bayer AG,Neurology
Bayer AG,Immunology
Bayer AG,Cell & Gene Therapy
Eli Lilly and Company,Diabetes & Obesity
Eli Lilly and Company,Oncology
Eli Lilly and Company,Immunology
Eli Lilly and Company,Neuroscience
Bristol Myers Squibb Company,Oncology
Bristol Myers Squibb Company,Hematology
Bristol Myers Squibb Company,Immunology
Bristol Myers Squibb Company,Cardiovascular
Bristol Myers Squibb Company,Neuroscience
Amgen Inc.,General Medicine
Amgen Inc.,Oncology
Amgen Inc.,Inflammation
Amgen Inc.,Rare Disease
Takeda Pharmaceutical Company Limited,Gastroenterology & Inflammation
Takeda Pharmaceutical Company Limited,Rare Diseases
Takeda Pharmaceutical Company Limited,Plasma-Derived Therapies (PDT)
Takeda Pharmaceutical Company Limited,Oncology
Takeda Pharmaceutical Company Limited,Neuroscience
Takeda Pharmaceutical Company Limited,Vaccines
Boehringer Ingelheim,Cardiometabolic (Diabetes
Boehringer Ingelheim,Heart Failure
Boehringer Ingelheim,CKD
Boehringer Ingelheim,Obesity/MASH)
Boehringer Ingelheim,Respiratory (Pulmonary Fibrosis)
Boehringer Ingelheim,Oncology
Boehringer Ingelheim,Immunology & Inflammation
Boehringer Ingelheim,Mental Health
Novo Nordisk A/S,Diabetes Care
Novo Nordisk A/S,Obesity Care
Novo Nordisk A/S,Rare Diseases (Rare Blood Disorders
Novo Nordisk A/S,Rare Endocrine Disorders)
"Regeneron Pharmaceuticals, Inc.",Ophthalmology
"Regeneron Pharmaceuticals, Inc.",Immunology & Inflammation
"Regeneron Pharmaceuticals, Inc.",Oncology
"Regeneron Pharmaceuticals, Inc.",Cardiovascular & Metabolic
"Regeneron Pharmaceuticals, Inc.",Neuroscience
"Regeneron Pharmaceuticals, Inc.",Hematology
"Regeneron Pharmaceuticals, Inc.",Infectious Diseases
"Regeneron Pharmaceuticals, Inc.",Rare Diseases
Biogen Inc.,Neuroscience (Multiple Sclerosis
Biogen Inc.,Alzheimer's Disease
Biogen Inc.,ALS
Biogen Inc.,Parkinson's)
Biogen Inc.,Rare Diseases
Biogen Inc.,Immunology
Vertex Pharmaceuticals Incorporated,Cystic Fibrosis
Vertex Pharmaceuticals Incorporated,Pain (Acute & Neuropathic)
Vertex Pharmaceuticals Incorporated,Hematology (Sickle Cell Disease
Vertex Pharmaceuticals Incorporated,Beta-Thalassemia)
Vertex Pharmaceuticals Incorporated,Kidney Disease
Vertex Pharmaceuticals Incorporated,Type 1 Diabetes
